link,id_apto,precio,cant_habitaciones,longitud,latitud
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/la-hacienda/cali/6866695,6866695,3800000,3,-76.5323257446289,3.3943328857421875
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/la-hacienda/cali/7089100,7089100,2500000,3,-76.53096008300781,3.3957936763763428
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-jardin/cali/7654763,7654763,1650000,4,-76.53424835205078,3.3692638874053955
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-jardin/cali/6098339,6098339,2600000,3,-76.53797912597656,3.359610080718994
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/6643662,6643662,2500000,2,-76.51889038085938,3.371119976043701
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/los-guayacanes/cali/7656010,7656010,600000,2,-76.49141693115234,3.4747118949890137
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/vipasa/cali/7540551,7540551,1100000,2,-76.52176666259766,3.477891206741333
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-recuerdo/cali/7654121,7654121,700000,3,-76.51557159423828,3.430112361907959
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-teresita/cali/7657178,7657178,9500000,3,-76.55056762695312,3.449079990386963
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/bochalema/cali/7713468,7713468,1200000,3,-76.51764678955078,3.362065076828003
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7655610,7655610,870000,2,-76.51994323730469,3.3666136264801025
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/bosques-del-limonar/cali/7654330,7654330,980000,2,-76.53379821777344,3.400350570678711
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-teresita/cali/6866231,6866231,5800000,3,-76.55292510986328,3.4491779804229736
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/torres-de-comfandi/cali/7619508,7619508,1100000,3,-76.49966430664062,3.478485345840454
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/nueva-floresta/cali/7654384,7654384,750000,2,-76.5010757446289,3.439821481704712
